coverage_id	assigned_split	trait_id	object_type	score_source	score_level_used	n_objects	n_objects_with_evidence_score	n_objects_with_any_decoy_score	n_objects_with_all_decoy_scores	mean_decoys_with_score	median_decoys_with_score	coverage_rate_evidence	coverage_rate_decoy_any	coverage_rate_decoy_all	dry_run_only	notes
DRCOV_00000145	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	gene	baseline:genomic_position	window	41	41	41	41	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000146	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	gene	baseline:random_uniform	window	41	41	41	41	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000147	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	gene	baseline:shuffled_trait	window	41	41	41	41	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000148	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	gene	baseline:window_snp_density	window	41	41	41	41	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000149	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	baseline:genomic_position	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000150	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	baseline:random_uniform	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000151	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	baseline:shuffled_trait	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000152	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	baseline:window_snp_density	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000153	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	variant	baseline:genomic_position	variant	2363	2363	2363	2363	5	5	1	1	1	true	exact score coverage
DRCOV_00000154	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	variant	baseline:random_uniform	variant	2363	2363	2363	2363	5	5	1	1	1	true	exact score coverage
